???,??,???
result_data,347,result-data-special-1168112
result_data,348,result-data-725035
result_data,349,result-data-downWord-2403045
result_data,350,result-data-normalWord-2377552
result_data,351,result-data-normalWord-3777606
result_data,352,result-data-downWord-2071296
result_data,353,result-data-937444
result_data,354,result-data-downWord-2146369
result_data,355,result-data-upWord-256924
result_data,356,result-data-834928
result_data,357,result-data-special-3777606
result_data,358,result-data-upWord-3338224
result_data,359,result-data-653443
result_data,360,result-data-upWord-2487758
result_data,361,result-data-special-2119153
result_data,362,result-data-2146369
result_data,363,result-data-1113936
result_data,364,result-data-free-1259265
result_data,365,result-data-free-672752
result_data,367,result-data-767290
result_data,368,result-data-226061
result_data,369,result-data-upWord-2333331
result_data,370,result-data-free-1113936
result_data,371,result-data-upWord-3749927
result_data,372,result-data-free-256924
result_data,373,result-data-downWord-256924
result_data,374,result-data-special-226061
result_data,375,result-data-upWord-3392338
result_data,376,result-data-upWord-2487758
result_data,377,result-data-normalWord-3556707
result_data,378,result-data-free-961547
result_data,379,result-data-upWord-2492155
result_data,380,result-data-normalWord-2416631
result_data,381,result-data-free-2416631
result_data,382,result-data-free-230996
result_data,383,result-data-free-511037
result_data,384,result-data-downWord-971735
result_data,385,result-data-special-552679
result_data,386,result-data-downWord-226061
result_data,387,result-data-normalWord-3789120
result_data,388,result-data-downWord-653443
result_data,389,result-data-upWord-2298362
result_data,390,result-data-downWord-3777606
result_data,391,result-data-upWord-2075639
result_data,392,result-data-upWord-2403045
result_data,393,result-data-normalWord-937444
result_data,394,result-data-upWord-552679
result_data,395,result-data-downWord-2146369
result_data,396,result-data-downWord-3749927
result_data,397,result-data-downWord-3960820
result_data,398,result-data-free-1113261
result_data,399,result-data-special-1168112
result_data,400,result-data-special-2746869
result_data,401,result-data-free-2071296
result_data,402,result-data-special-2075639
result_data,403,result-data-normalWord-877423
result_data,404,result-data-free-971735
result_data,405,result-data-free-1538388
result_data,406,result-data-downWord-725035
result_data,407,result-data-free-3777606
result_data,408,result-data-normalWord-256924
result_data,409,result-data-special-1113261
result_data,410,result-data-upWord-1168112
result_data,411,result-data-normalWord-914558
result_data,412,result-data-free-725035
result_data,413,result-data-special-2623413
result_data,414,result-data-upWord-937444
result_data,415,result-data-normalWord-2119153
result_data,416,result-data-free-1538388
result_data,417,result-data-special-1845057
result_data,418,result-data-normalWord-3960187
result_data,419,result-data-free-1351071
result_data,420,result-data-free-2492155
result_data,421,result-data-normalWord-2487758
result_data,422,result-data-normalWord-3024418
result_data,423,result-data-free-2487758
result_data,424,result-data-special-3749927
result_data,425,result-data-normalWord-261223
result_data,426,result-data-special-3960820
result_data,427,result-data-free-2377552
result_data,428,result-data-downWord-2071296
result_data,429,result-data-upWord-3960187
result_data,430,result-data-special-2333331
result_data,431,result-data-upWord-226061
result_data,432,result-data-upWord-3749927
result_data,433,result-data-downWord-264145
result_data,434,result-data-free-2177658
result_data,435,result-data-downWord-2623413
result_data,436,result-data-upWord-1168112
result_data,437,result-data-special-264145
result_data,438,result-data-upWord-264145
result_data,440,result-data-normalWord-2298362
result_data,441,result-data-normalWord-2986259
result_data,442,result-data-upWord-1351071
result_data,443,result-data-free-3110275
result_data,444,result-data-free-2623413
result_data,445,result-data-1351071
result_data,446,result-data-downWord-3110275
result_data,447,result-data-normalWord-2637056
result_data,448,result-data-normalWord-2678297
result_data,449,result-data-downWord-3777606
result_data,450,result-data-free-877423
result_data,451,result-data-upWord-2487758
result_data,452,result-data-upWord-937444
result_data,453,result-data-downWord-672752
result_data,454,result-data-free-1168112
result_data,455,result-data-special-3338224
result_data,456,result-data-upWord-2162294
result_data,457,result-data-free-1113936
result_data,458,result-data-normalWord-1351071
result_data,459,result-data-downWord-672752
result_data,460,result-data-special-1845057
result_data,461,result-data-downWord-2403045
result_data,462,result-data-normalWord-877423
result_data,463,result-data-downWord-1259265
result_data,464,result-data-normalWord-3324843
result_data,465,result-data-downWord-2678297
result_data,466,result-data-3273691
result_data,467,result-data-normalWord-2403045
result_data,468,result-data-normalWord-264145
result_data,469,result-data-special-2492155
result_data,470,result-data-2177658
result_data,471,result-data-downWord-230996
result_data,472,result-data-downWord-552679
result_data,473,result-data-normalWord-2333331
result_data,474,result-data-upWord-3392338
result_data,475,result-data-upWord-3749927
result_data,476,result-data-special-2403045
result_data,477,result-data-free-2146369
result_data,478,result-data-upWord-877423
result_data,479,result-data-upWord-2298362
result_data,480,result-data-upWord-3789120
result_data,481,result-data-downWord-2333331
result_data,482,result-data-downWord-3749927
result_data,483,result-data-special-2377552
result_data,484,result-data-free-653443
result_data,485,result-data-upWord-767290
result_data,486,result-data-downWord-2377552
result_data,487,result-data-upWord-2162294
result_data,488,result-data-upWord-961547
result_data,489,result-data-normalWord-2416631
result_data,490,result-data-special-261223
result_data,491,result-data-free-3960820
result_data,492,result-data-free-230996
result_data,493,result-data-free-2623413
result_data,494,result-data-upWord-2678297
result_data,495,result-data-free-3273691
result_data,496,result-data-downWord-1206080
result_data,497,result-data-special-971735
result_data,498,result-data-special-2416631
